formation_date,effective_date,signal_date,variant,lexicon,lambda,direction,ticker,sector,base_weight,ticker_z,tilt_multiplier,pre_normalisation_weight,target_weight,signal_available,clipped_to_zero,fallback_used
2023-06-30,2023-07-03,2023-06-30,Equity-Only Minimum Variance,none,0.0,base,T,Comm,0.0439759475588243,,1.0,0.0439759475588243,0.0439759475588243,False,False,False
2023-06-30,2023-07-03,2023-06-30,Equity-Only Minimum Variance,none,0.0,base,TMUS,Comm,0.0299148698096306,,1.0,0.0299148698096306,0.0299148698096306,False,False,False
2023-06-30,2023-07-03,2023-06-30,Equity-Only Minimum Variance,none,0.0,base,TTWO,Comm,0.0006271379537452,,1.0,0.0006271379537452,0.0006271379537452,False,False,False
2023-06-30,2023-07-03,2023-06-30,Equity-Only Minimum Variance,none,0.0,base,UPS,Industrials,0.0,,1.0,0.0,0.0,False,False,False
2023-06-30,2023-07-03,2023-06-30,Equity-Only Minimum Variance,none,0.0,base,USB,Financials,0.0,,1.0,0.0,0.0,False,False,False
2023-06-30,2023-07-03,2023-06-30,Equity-Only Minimum Variance,none,0.0,base,V,Financials,0.0,,1.0,0.0,0.0,False,False,False
2023-06-30,2023-07-03,2023-06-30,Equity-Only Minimum Variance,none,0.0,base,WFC,Financials,0.0,,1.0,0.0,0.0,False,False,False
2023-06-30,2023-07-03,2023-06-30,Equity-Only Minimum Variance,none,0.0,base,WMT,Consumer,0.1394268701487069,,1.0,0.1394268701487069,0.1394268701487069,False,False,False
2023-06-30,2023-07-03,2023-06-30,Equity-Only Minimum Variance,none,0.0,base,XOM,Energy,0.009241500092909,,1.0,0.009241500092909,0.009241500092909,False,False,False
2023-07-31,2023-08-01,2023-07-31,Equity-Only Minimum Variance,none,0.0,base,ABBV,Healthcare,0.0875430552463232,,1.0,0.0875430552463232,0.0875430552463232,False,False,False
2023-07-31,2023-08-01,2023-07-31,Equity-Only Minimum Variance,none,0.0,base,ABT,Healthcare,0.0,,1.0,0.0,0.0,False,False,False
2023-07-31,2023-08-01,2023-07-31,Equity-Only Minimum Variance,none,0.0,base,ADBE,Tech,0.0,,1.0,0.0,0.0,False,False,False
2023-07-31,2023-08-01,2023-07-31,Equity-Only Minimum Variance,none,0.0,base,AEP,Utilities,0.0,,1.0,0.0,0.0,False,False,False
