date,ticker,extended_z_expanding
2021-08-09,NKE,-0.21270870676917739
2021-08-09,NUE,-0.4328672561612173
2021-08-09,NVDA,
2021-08-09,O,-0.7109193852868688
2021-08-09,OXY,-0.13872039769309757
2021-08-09,PLD,
2021-08-09,PSA,
2021-08-09,QCOM,-0.6572254446318396
2021-08-09,SBUX,-0.36554149128729124
2021-08-09,SHW,
2021-08-09,SLB,-2.906780571514656
2021-08-09,SO,
2021-08-09,T,0.18330526104838696
2021-08-09,TMUS,-0.5788566461185666
2021-08-09,TTWO,0.7952661198667416
2021-08-09,UPS,-0.45649014903353585
2021-08-09,USB,
2021-08-09,V,1.309150228968484
2021-08-09,WFC,1.052459012108967
2021-08-09,WMT,0.06225869284545878
2021-08-09,XOM,-1.4036526773080573
2021-08-10,ABBV,-0.6681431984571035
2021-08-10,ABT,-0.4919694915246073
2021-08-10,ADBE,
2021-08-10,AEP,
2021-08-10,AMD,0.5942501768849993
2021-08-10,AMGN,-0.2984572751503044
2021-08-10,AMT,
2021-08-10,BA,
2021-08-10,CAT,0.4305145819595397
2021-08-10,CCI,
2021-08-10,CMCSA,-0.20671007397962365
2021-08-10,COP,
2021-08-10,CVX,-2.3396807927437253
2021-08-10,D,
2021-08-10,DD,
2021-08-10,DIS,0.045856793648130084
2021-08-10,DOW,
2021-08-10,DUK,-0.43789806645424345
2021-08-10,EA,
2021-08-10,GE,
2021-08-10,GILD,
2021-08-10,GS,-1.928203155676102
2021-08-10,INTC,-1.0260166351476352
2021-08-10,KO,-0.4773542443062146
2021-08-10,MMM,-0.23053332703830268
2021-08-10,MRK,-0.061185838312338564
2021-08-10,MS,-1.792830780043456
2021-08-10,NEE,1.4092277068507033
2021-08-10,NEM,
2021-08-10,NKE,
2021-08-10,NUE,-0.026079587094908173
2021-08-10,NVDA,
2021-08-10,O,1.9396592034813038
2021-08-10,OXY,-0.9810520496913034
2021-08-10,PLD,
2021-08-10,PSA,
2021-08-10,QCOM,
2021-08-10,SBUX,-0.3640249832303361
2021-08-10,SHW,
2021-08-10,SLB,
2021-08-10,SO,
2021-08-10,T,0.6670287413686171
2021-08-10,TMUS,0.7091269099057844
2021-08-10,TTWO,1.2376925993706551
2021-08-10,UPS,0.5844989679049382
2021-08-10,USB,1.0237199505902883
2021-08-10,V,-0.5095610029946264
2021-08-10,WFC,1.1867256702286477
2021-08-10,WMT,1.2059275809915424
2021-08-10,XOM,-0.9129506555551256
2021-08-11,ABBV,0.609918101263826
2021-08-11,ABT,1.4854837491645771
2021-08-11,ADBE,
2021-08-11,AEP,
2021-08-11,AMD,-0.6387495206491741
2021-08-11,AMGN,-0.16710790936874378
2021-08-11,AMT,
2021-08-11,BA,
2021-08-11,CAT,0.49104191594787955
2021-08-11,CCI,
2021-08-11,CMCSA,-1.789675180638146
2021-08-11,COP,
2021-08-11,CVX,-0.22318440753009636
2021-08-11,D,
2021-08-11,DD,
2021-08-11,DIS,-0.5034236635241246
2021-08-11,DOW,
2021-08-11,DUK,-0.40366662684226395
2021-08-11,EA,-2.205640664740585
2021-08-11,GE,-3.9464496241915996
2021-08-11,GILD,
2021-08-11,GS,1.0182262081823397
2021-08-11,INTC,-0.527151453498791
2021-08-11,KO,
2021-08-11,MMM,0.019521155132502757
2021-08-11,MRK,
2021-08-11,MS,-0.5656937168352019
2021-08-11,NEE,-0.24704818075757298
2021-08-11,NEM,
2021-08-11,NKE,2.375328172099064
2021-08-11,NUE,0.3039199053512979
2021-08-11,NVDA,
2021-08-11,O,2.8215798802469276
2021-08-11,OXY,1.4026835215506945
2021-08-11,PLD,
2021-08-11,PSA,
2021-08-11,QCOM,
2021-08-11,SBUX,-0.281173832283479
2021-08-11,SHW,
2021-08-11,SLB,-0.06620867186952689
2021-08-11,SO,
2021-08-11,T,2.4600939835183038
2021-08-11,TMUS,
2021-08-11,TTWO,
2021-08-11,UPS,-0.46729986920538663
2021-08-11,USB,
2021-08-11,V,-0.4940689882954815
2021-08-11,WFC,1.1748040315455905
2021-08-11,WMT,-0.4060296531979909
2021-08-11,XOM,0.6825211379219821
2021-08-12,ABBV,1.8805777113367412
2021-08-12,ABT,
2021-08-12,ADBE,1.3049995232639966
2021-08-12,AEP,
2021-08-12,AMD,-0.6400303205489039
2021-08-12,AMGN,0.7383652880477825
2021-08-12,AMT,
2021-08-12,BA,
2021-08-12,CAT,2.4596567312164037
2021-08-12,CCI,
2021-08-12,CMCSA,1.853873668157845
2021-08-12,COP,-0.1633882122902512
2021-08-12,CVX,-0.13543160404200077
2021-08-12,D,
2021-08-12,DD,
2021-08-12,DIS,1.5567782590373327
2021-08-12,DOW,
2021-08-12,DUK,
2021-08-12,EA,1.1689226376921678
2021-08-12,GE,
2021-08-12,GILD,-0.2999285946749164
